id,age,educ,paeduc,sex,race,income,region,polviews,relig,slt8,s9_11,s12,s13_15,s16,s17_18,sgt18,stage,cage,female,white,black,other,south,nrthest,midwest,west,missed,missag,misssx,missra,missrg,misspa,miss
1,26,16,16,male,white,,w. sou. central,slghtly conservative,protestant,16,1,0,1,1,0,0,-1.152979,-20.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
2,48,15,9,female,white,$8000 to 9999,w. sou. central,conservative,protestant,15,1,0,0,0,0,0,.11387725,1.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
3,67,13,12,female,white,$15000 - 19999,w. sou. central,conservative,protestant,13,1,1,0,0,0,0,1.2079804,20.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
4,39,14,12,female,white,$25000 or more,w. sou. central,slghtly conservative,orthodox-christian,14,1,1,0,0,0,0,-.40438211,-7.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
5,25,14,13,female,white,$25000 or more,w. sou. central,slightly liberal,none,14,1,0,1,0,0,0,-1.2105633,-21.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
6,25,12,,female,white,,w. sou. central,slightly liberal,protestant,12,1,0,1,0,1,1,-1.2105633,-21.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
7,36,14,18,male,white,$25000 or more,w. sou. central,moderate,christian,14,1,0,1,0,1,0,-.57713521,-10.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
8,44,14,12,female,white,$20000 - 24999,w. sou. central,liberal,protestant,14,1,1,0,0,0,0,-.11646024,-2.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
9,44,18,11,male,white,$25000 or more,w. sou. central,slightly liberal,protestant,18,1,0,0,0,0,0,-.11646024,-2.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
10,47,16,16,male,white,$25000 or more,w. sou. central,extrmly conservative,protestant,16,1,0,1,1,0,0,.056292877,.98000002,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
11,53,18,3,female,white,$25000 or more,w. sou. central,slightly liberal,protestant,18,0,0,0,0,0,0,.40179911,6.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
12,52,20,12,male,white,$25000 or more,w. sou. central,conservative,none,20,1,1,0,0,0,0,.34421474,5.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
13,52,12,,male,white,$25000 or more,w. sou. central,moderate,protestant,12,1,0,1,0,1,1,.34421474,5.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
14,51,17,6,male,white,$25000 or more,w. sou. central,conservative,protestant,17,0,0,0,0,0,0,.28663036,4.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
15,52,16,13,female,white,$25000 or more,w. sou. central,slightly liberal,none,16,1,0,1,0,0,0,.34421474,5.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
16,40,16,10,male,black,$25000 or more,w. sou. central,moderate,protestant,16,1,0,0,0,0,0,-.34679773,-6.02,No,No,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0
17,77,15,12,male,white,$10000 - 14999,w. sou. central,extrmly conservative,jewish,15,1,1,0,0,0,0,1.7838241,30.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
18,44,12,,male,white,$25000 or more,w. sou. central,slightly liberal,none,12,1,0,1,0,1,1,-.11646024,-2.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
19,40,8,,male,white,$10000 - 14999,w. sou. central,slghtly conservative,catholic,8,1,0,1,0,1,1,-.34679773,-6.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
20,45,12,,female,black,$20000 - 24999,w. sou. central,moderate,protestant,12,1,0,1,0,1,1,-.05887587,-1.02,Yes,No,Yes,No,Yes,No,No,No,0,0,0,0,0,1,1
21,48,16,,male,white,$25000 or more,w. sou. central,moderate,catholic,16,1,0,1,0,1,1,.11387725,1.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
22,49,17,16,female,white,$25000 or more,w. sou. central,moderate,protestant,17,1,0,1,1,0,0,.17146163,2.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
23,19,11,14,male,white,$25000 or more,w. sou. central,slightly liberal,none,11,1,0,1,0,0,0,-1.5560696,-27.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
24,54,16,15,male,white,$25000 or more,w. sou. central,conservative,christian,16,1,0,1,0,0,0,.45938349,7.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
25,82,16,12,female,white,refused,w. sou. central,moderate,protestant,16,1,1,0,0,0,0,2.0717459,35.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
26,83,12,,female,white,refused,w. sou. central,moderate,protestant,12,1,0,1,0,1,1,2.1293304,36.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
27,89,12,,male,white,$1000 to 2999,w. sou. central,moderate,protestant,12,1,0,1,0,1,1,2.4748366,42.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
28,88,13,,female,white,refused,w. sou. central,moderate,protestant,13,1,0,1,0,1,1,2.4172521,41.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
29,72,12,6,female,white,$10000 - 14999,w. sou. central,moderate,protestant,12,0,0,0,0,0,0,1.4959022,25.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
30,82,13,6,female,white,refused,w. sou. central,liberal,protestant,13,0,0,0,0,0,0,2.0717459,35.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
31,89,12,10,female,white,$25000 or more,w. sou. central,moderate,protestant,12,1,0,0,0,0,0,2.4748366,42.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
32,34,17,,female,white,refused,w. sou. central,slghtly conservative,catholic,17,1,0,1,0,1,1,-.69230396,-12.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
33,55,12,8,female,black,$25000 or more,w. sou. central,conservative,protestant,12,0,0,0,0,0,0,.51696783,8.9799995,Yes,No,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0
34,37,12,,male,white,$25000 or more,w. sou. central,moderate,none,12,1,0,1,0,1,1,-.51955086,-9.0200005,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
35,22,13,10,male,white,,w. sou. central,liberal,protestant,13,1,0,0,0,0,0,-1.3833164,-24.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
36,33,8,2,female,other,$20000 - 24999,w. sou. central,moderate,christian,8,0,0,0,0,0,0,-.74988836,-13.02,Yes,No,No,Yes,Yes,No,No,No,0,0,0,0,0,0,0
37,37,16,,male,white,$25000 or more,w. sou. central,liberal,none,16,1,0,1,0,1,1,-.51955086,-9.0200005,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
38,43,14,14,male,white,$20000 - 24999,w. sou. central,moderate,catholic,14,1,0,1,0,0,0,-.17404461,-3.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
39,29,16,16,male,white,$25000 or more,w. sou. central,slghtly conservative,catholic,16,1,0,1,1,0,0,-.98022586,-17.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
40,57,13,,female,white,refused,w. sou. central,slghtly conservative,protestant,13,1,0,1,0,1,1,.63213658,10.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
41,31,16,12,female,white,$25000 or more,w. sou. central,moderate,none,16,1,1,0,0,0,0,-.86505711,-15.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
42,45,14,10,female,white,$25000 or more,w. sou. central,slghtly conservative,catholic,14,1,0,0,0,0,0,-.05887587,-1.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
43,36,12,,male,black,,w. sou. central,slghtly conservative,none,12,1,0,1,0,1,1,-.57713521,-10.02,No,No,Yes,No,Yes,No,No,No,0,0,0,0,0,1,1
44,52,19,,male,white,$8000 to 9999,w. sou. central,extremely liberal,other (specify),19,1,0,1,0,1,1,.34421474,5.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
45,26,14,16,male,white,$25000 or more,w. sou. central,slghtly conservative,none,14,1,0,1,1,0,0,-1.152979,-20.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
46,46,6,,female,white,$10000 - 14999,w. sou. central,conservative,catholic,6,1,0,1,0,1,1,-.0012914971,-.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
47,65,18,10,male,white,$25000 or more,w. sou. central,conservative,protestant,18,1,0,0,0,0,0,1.0928116,18.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
48,52,12,12,female,white,$25000 or more,w. sou. central,moderate,protestant,12,1,1,0,0,0,0,.34421474,5.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
49,56,16,16,female,white,$25000 or more,w. sou. central,moderate,protestant,16,1,0,1,1,0,0,.57455224,9.9799995,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
50,66,16,,male,white,$25000 or more,w. sou. central,slghtly conservative,protestant,16,1,0,1,0,1,1,1.150396,19.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
51,20,11,,male,white,$25000 or more,w. sou. central,slghtly conservative,protestant,11,1,0,1,0,1,1,-1.4984852,-26.02,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
52,64,16,16,female,white,$25000 or more,w. sou. central,extrmly conservative,protestant,16,1,0,1,1,0,0,1.0352272,17.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
53,59,16,12,male,white,$25000 or more,w. sou. central,liberal,protestant,16,1,1,0,0,0,0,.74730533,12.98,No,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
54,46,13,,female,white,$25000 or more,w. sou. central,moderate,protestant,13,1,0,1,0,1,1,-.0012914971,-.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
55,26,15,17,male,black,$25000 or more,w. sou. central,moderate,none,15,1,0,1,0,1,0,-1.152979,-20.02,No,No,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0
56,39,12,12,female,black,,w. sou. central,,none,12,1,1,0,0,0,0,-.40438211,-7.02,Yes,No,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0
57,51,12,,female,white,$20000 - 24999,w. sou. central,moderate,protestant,12,1,0,1,0,1,1,.28663036,4.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
58,45,18,16,female,white,$25000 or more,w. sou. central,slghtly conservative,protestant,18,1,0,1,1,0,0,-.05887587,-1.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
59,23,16,20,female,white,$1000 to 2999,w. sou. central,extremely liberal,protestant,16,1,0,1,0,1,1,-1.3257321,-23.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
60,21,15,,female,white,,w. sou. central,moderate,protestant,15,1,0,1,0,1,1,-1.4409008,-25.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
61,26,17,14,female,white,$20000 - 24999,w. sou. central,conservative,protestant,17,1,0,1,0,0,0,-1.152979,-20.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
62,31,20,12,female,other,$25000 or more,w. sou. central,slghtly conservative,christian,20,1,1,0,0,0,0,-.86505711,-15.02,Yes,No,No,Yes,Yes,No,No,No,0,0,0,0,0,0,0
63,27,16,,female,black,$25000 or more,w. sou. central,slightly liberal,protestant,16,1,0,1,0,1,1,-1.0953946,-19.02,Yes,No,Yes,No,Yes,No,No,No,0,0,0,0,0,1,1
64,78,10,0,female,white,$8000 to 9999,w. sou. central,moderate,protestant,10,0,0,0,0,0,0,1.8414085,31.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
65,29,8,,female,white,$10000 - 14999,w. sou. central,,none,8,1,0,1,0,1,1,-.98022586,-17.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,1,1
